TIPO,BUBBLE_SORT,INSERTION_SORT,MERGE_SORT
pior,0.002991,0.001108,0.000065
pior,0.002929,0.001132,0.000064
pior,0.002924,0.001110,0.000064
pior,0.002920,0.001111,0.000064
pior,0.002990,0.001130,0.000064
pior,0.002912,0.001110,0.000064
pior,0.002989,0.001109,0.000064
pior,0.002988,0.001110,0.000063
pior,0.002902,0.001111,0.000064
pior,0.002902,0.001109,0.000064
melhor,0.001958,0.000004,0.000064
melhor,0.002062,0.000004,0.000064
melhor,0.002063,0.000004,0.000064
melhor,0.001884,0.000004,0.000064
melhor,0.001884,0.000004,0.000064
melhor,0.001885,0.000004,0.000064
melhor,0.002002,0.000004,0.000063
melhor,0.001885,0.000004,0.000063
melhor,0.001885,0.000003,0.000064
melhor,0.001884,0.000004,0.000064
