TAM,BUBBLE_SORT,INSERTION_SORT,MERGE_SORT
25,0.000015,0.000006,0.000015
25,0.000016,0.000006,0.000011
25,0.000016,0.000005,0.000012
25,0.000016,0.000005,0.000011
25,0.000015,0.000005,0.000011
25,0.000015,0.000006,0.000011
25,0.000015,0.000005,0.000010
25,0.000013,0.000006,0.000011
25,0.000013,0.000005,0.000010
25,0.000014,0.000005,0.000011
100,0.000163,0.000033,0.000050
100,0.000170,0.000034,0.000043
100,0.000171,0.000036,0.000043
100,0.000168,0.000037,0.000043
100,0.000169,0.000035,0.000042
100,0.000170,0.000036,0.000042
100,0.000165,0.000033,0.000042
100,0.000169,0.000035,0.000042
100,0.000171,0.000034,0.000042
100,0.000172,0.000037,0.000041
1000,0.002857,0.000551,0.000112
1000,0.002720,0.000564,0.000110
1000,0.002730,0.000576,0.000109
1000,0.002738,0.000612,0.000109
1000,0.002736,0.000596,0.000107
1000,0.002749,0.000607,0.000112
1000,0.002729,0.000596,0.000109
1000,0.002753,0.000574,0.000109
1000,0.002745,0.000603,0.000109
1000,0.002735,0.000591,0.000107
5000,0.073276,0.014189,0.000652
5000,0.073193,0.014171,0.000641
5000,0.073091,0.014188,0.000642
5000,0.073188,0.013742,0.000640
5000,0.072987,0.014045,0.000640
5000,0.073333,0.014037,0.000638
5000,0.073606,0.014116,0.000642
5000,0.073070,0.014435,0.000640
5000,0.073194,0.014046,0.000640
5000,0.073128,0.014029,0.000640
10000,0.324416,0.056475,0.001378
10000,0.324699,0.056097,0.001379
10000,0.326566,0.056845,0.001381
10000,0.332190,0.058745,0.001423
10000,0.333778,0.057131,0.001418
10000,0.329636,0.056561,0.001421
10000,0.333842,0.058763,0.001414
10000,0.333983,0.057059,0.001379
10000,0.330702,0.057279,0.001378
10000,0.324588,0.056207,0.001380
12500,0.521444,0.088328,0.001755
12500,0.519622,0.087941,0.001756
12500,0.519499,0.088421,0.001754
12500,0.520615,0.088887,0.001755
12500,0.519773,0.087216,0.001751
12500,0.519260,0.087157,0.001752
12500,0.517778,0.087522,0.001753
12500,0.520139,0.087491,0.001755
12500,0.519105,0.087592,0.001755
12500,0.520338,0.088276,0.001751
15000,0.760853,0.127591,0.002145
15000,0.760920,0.128355,0.002134
15000,0.759370,0.126718,0.002134
15000,0.761485,0.126682,0.002139
15000,0.760218,0.127129,0.002138
15000,0.760026,0.128408,0.002134
15000,0.758433,0.124907,0.002131
15000,0.763146,0.127168,0.002132
15000,0.761695,0.126132,0.002083
15000,0.760247,0.124841,0.002120
17500,1.047307,0.173434,0.002545
17500,1.046885,0.173130,0.002537
17500,1.049848,0.172437,0.002542
17500,1.048474,0.172293,0.002537
17500,1.047535,0.172501,0.002542
17500,1.042738,0.172498,0.002544
17500,1.045456,0.171393,0.002547
17500,1.046444,0.172110,0.002587
17500,1.046998,0.173921,0.002541
17500,1.048820,0.173426,0.002542
20000,1.378376,0.221305,0.002932
20000,1.380055,0.223142,0.002937
20000,1.383345,0.224152,0.002931
20000,1.380814,0.225291,0.002928
20000,1.382318,0.226765,0.002924
20000,1.387921,0.224851,0.002924
20000,1.386174,0.224329,0.002930
20000,1.384959,0.224096,0.002853
20000,1.387539,0.226849,0.002917
20000,1.385833,0.222352,0.002933
