TAM,BUBBLE_SORT,INSERTION_SORT,MERGE_SORT
25,0.000018,0.000007,0.000015
25,0.000014,0.000005,0.000012
25,0.000014,0.000006,0.000012
25,0.000014,0.000006,0.000011
25,0.000013,0.000005,0.000011
25,0.000013,0.000005,0.000011
25,0.000015,0.000005,0.000012
25,0.000015,0.000006,0.000011
25,0.000013,0.000005,0.000011
25,0.000014,0.000005,0.000011
100,0.000152,0.000037,0.000053
100,0.000154,0.000033,0.000047
100,0.000159,0.000035,0.000045
100,0.000155,0.000035,0.000045
100,0.000156,0.000034,0.000045
100,0.000190,0.000034,0.000044
100,0.000159,0.000040,0.000044
100,0.000158,0.000033,0.000044
100,0.000158,0.000036,0.000044
100,0.000154,0.000035,0.000044
1000,0.002606,0.000639,0.000116
1000,0.002464,0.000607,0.000127
1000,0.002626,0.000613,0.000126
1000,0.002612,0.000590,0.000126
1000,0.002633,0.000620,0.000126
1000,0.002600,0.000592,0.000126
1000,0.002628,0.000635,0.000128
1000,0.002605,0.000598,0.000127
1000,0.002623,0.000618,0.000130
1000,0.002476,0.000581,0.000117
5000,0.067182,0.013722,0.000685
5000,0.067447,0.013822,0.000675
5000,0.066992,0.013877,0.000672
5000,0.066946,0.014021,0.000675
5000,0.066595,0.013840,0.000674
5000,0.066901,0.014040,0.000675
5000,0.067652,0.014403,0.000674
5000,0.067677,0.013765,0.000675
5000,0.067480,0.013793,0.000674
5000,0.066798,0.013926,0.000677
10000,0.299177,0.055159,0.001443
10000,0.298744,0.056144,0.001441
10000,0.298106,0.055478,0.001444
10000,0.299383,0.055882,0.001439
10000,0.299522,0.055848,0.001441
10000,0.299780,0.056632,0.001447
10000,0.298289,0.055858,0.001440
10000,0.299417,0.054872,0.001439
10000,0.298969,0.055271,0.001440
10000,0.299507,0.054837,0.001438
12500,0.479243,0.087540,0.001831
12500,0.477988,0.086461,0.001830
12500,0.478374,0.086580,0.001828
12500,0.476693,0.086669,0.001826
12500,0.480538,0.087488,0.001829
12500,0.480457,0.086782,0.001833
12500,0.479268,0.087098,0.001830
12500,0.480094,0.086373,0.001830
12500,0.478775,0.086399,0.001827
12500,0.480642,0.087287,0.001827
15000,0.702923,0.125523,0.002237
15000,0.703286,0.124733,0.002228
15000,0.700348,0.123882,0.002233
15000,0.705655,0.125452,0.002234
15000,0.703478,0.123378,0.002237
15000,0.701805,0.125724,0.002238
15000,0.701699,0.125530,0.002232
15000,0.701702,0.124374,0.002235
15000,0.702357,0.124577,0.002242
15000,0.704820,0.125181,0.002238
17500,0.969528,0.170302,0.002648
17500,0.969582,0.171146,0.002643
17500,0.970746,0.170948,0.002645
17500,0.969171,0.171633,0.002687
17500,0.970049,0.168613,0.002648
17500,0.967545,0.169661,0.002652
17500,0.968363,0.170094,0.002650
17500,0.967971,0.170400,0.002653
17500,0.967719,0.170476,0.002655
17500,0.966184,0.170631,0.002653
20000,1.278866,0.223170,0.003051
20000,1.281259,0.222273,0.003043
20000,1.278016,0.222256,0.003046
20000,1.277354,0.223328,0.003049
20000,1.281960,0.223112,0.003050
20000,1.276703,0.222930,0.003052
20000,1.275834,0.221040,0.003051
20000,1.280009,0.221577,0.003053
20000,1.281451,0.222058,0.003047
20000,1.271991,0.222054,0.003047
