TAM,QUICK_SORT,HEAP_SORT
25,0.000002,0.000002
25,0.000002,0.000002
25,0.000002,0.000003
25,0.000001,0.000015
25,0.000002,0.000002
25,0.000002,0.000001
25,0.000001,0.000002
25,0.000001,0.000002
25,0.000002,0.000001
25,0.000002,0.000002
100,0.000006,0.000009
100,0.000006,0.000009
100,0.000006,0.000008
100,0.000006,0.000008
100,0.000006,0.000025
100,0.000025,0.000009
100,0.000006,0.000009
100,0.000006,0.000009
100,0.000006,0.000022
100,0.000005,0.000008
1000,0.000134,0.000163
1000,0.000077,0.000169
1000,0.000075,0.000124
1000,0.000075,0.000153
1000,0.000076,0.000122
1000,0.000076,0.000124
1000,0.000075,0.000124
1000,0.000076,0.000124
1000,0.000074,0.000123
1000,0.000075,0.000123
5000,0.000443,0.000756
5000,0.000448,0.000759
5000,0.000444,0.000752
5000,0.000455,0.000756
5000,0.000451,0.000756
5000,0.000446,0.000756
5000,0.000453,0.000757
5000,0.000451,0.000755
5000,0.000457,0.000757
5000,0.000449,0.000756
10000,0.000964,0.001642
10000,0.000959,0.001648
10000,0.000989,0.001640
10000,0.000960,0.001648
10000,0.000951,0.001641
10000,0.000971,0.001642
10000,0.000965,0.001639
10000,0.000959,0.001642
10000,0.000955,0.001644
10000,0.000961,0.001644
25000,0.002649,0.004540
25000,0.002630,0.004612
25000,0.002626,0.004725
25000,0.002622,0.004566
25000,0.002613,0.004568
25000,0.002677,0.004565
25000,0.002625,0.004562
25000,0.002606,0.004534
25000,0.002648,0.004710
25000,0.002687,0.004570
50000,0.005653,0.009899
50000,0.005624,0.009834
50000,0.005547,0.009746
50000,0.005550,0.009780
50000,0.005586,0.009768
50000,0.005549,0.009757
50000,0.005617,0.009747
50000,0.005571,0.009745
50000,0.005568,0.009766
50000,0.005585,0.009745
75000,0.008685,0.015300
75000,0.008629,0.015340
75000,0.008673,0.015285
75000,0.008641,0.015283
75000,0.008553,0.015330
75000,0.008623,0.015277
75000,0.008662,0.015335
75000,0.008671,0.015277
75000,0.008711,0.015289
75000,0.008642,0.015280
100000,0.011692,0.021018
100000,0.011793,0.021015
100000,0.011738,0.021012
100000,0.011706,0.021047
100000,0.011729,0.021423
100000,0.011943,0.021010
100000,0.011728,0.021019
100000,0.011742,0.021176
100000,0.011836,0.021495
100000,0.011809,0.021010
