TIPO,BUBBLE_SORT,INSERTION_SORT,MERGE_SORT
pior,0.002550,0.001114,0.000071
pior,0.002549,0.001116,0.000071
pior,0.002547,0.001117,0.000070
pior,0.002546,0.001117,0.000070
pior,0.002547,0.001117,0.000070
pior,0.002547,0.001117,0.000070
pior,0.002546,0.001116,0.000070
pior,0.002545,0.001116,0.000070
pior,0.002549,0.001116,0.000070
pior,0.002549,0.001116,0.000070
melhor,0.001895,0.000003,0.000072
melhor,0.001892,0.000003,0.000071
melhor,0.001894,0.000003,0.000071
melhor,0.001891,0.000003,0.000070
melhor,0.001895,0.000004,0.000071
melhor,0.001894,0.000003,0.000071
melhor,0.001895,0.000003,0.000070
melhor,0.001894,0.000004,0.000070
melhor,0.001894,0.000004,0.000071
melhor,0.001893,0.000004,0.000070
