TIPO,QUICKSORT,HEAPSORT
pior,0.000961,0.000103
pior,0.000951,0.000101
pior,0.000950,0.000100
pior,0.000950,0.000100
pior,0.000949,0.000099
pior,0.000951,0.000099
pior,0.000949,0.000099
pior,0.000949,0.000098
pior,0.000950,0.000099
pior,0.000951,0.000099
melhor,0.000075,0.000107
melhor,0.000073,0.000107
melhor,0.000073,0.000108
melhor,0.000073,0.000106
melhor,0.000076,0.000107
melhor,0.000074,0.000106
melhor,0.000075,0.000106
melhor,0.000075,0.000105
melhor,0.000075,0.000106
melhor,0.000074,0.000105
