size,counting,bucket,radix256,heap,quick
100,0.001444,0.002525,0.000006,0.000010,0.000007
100,0.000269,0.000558,0.000006,0.000009,0.000006
100,0.000141,0.000530,0.000005,0.000008,0.000006
100,0.000141,0.000242,0.000006,0.000006,0.000005
100,0.000141,0.000242,0.000006,0.000006,0.000004
100,0.000142,0.000242,0.000006,0.000006,0.000004
100,0.000142,0.000242,0.000006,0.000006,0.000004
100,0.000142,0.000295,0.000005,0.000006,0.000004
100,0.000138,0.000237,0.000006,0.000006,0.000005
100,0.000138,0.000236,0.000006,0.000005,0.000005
500,0.000145,0.000265,0.000015,0.000059,0.000046
500,0.000161,0.000274,0.000015,0.000058,0.000046
500,0.000146,0.000258,0.000015,0.000057,0.000045
500,0.000146,0.000259,0.000015,0.000056,0.000044
500,0.000145,0.000258,0.000015,0.000056,0.000043
500,0.000145,0.000261,0.000015,0.000082,0.000043
500,0.000145,0.000258,0.000015,0.000056,0.000043
500,0.000145,0.000258,0.000014,0.000070,0.000057
500,0.000146,0.000258,0.000015,0.000056,0.000044
500,0.000146,0.000258,0.000014,0.000055,0.000043
1000,0.000154,0.001041,0.000026,0.000132,0.000106
1000,0.000154,0.001083,0.000028,0.000133,0.000126
1000,0.000279,0.000821,0.000027,0.000130,0.000106
1000,0.000155,0.000305,0.000028,0.000129,0.000108
1000,0.000154,0.000302,0.000029,0.000174,0.000112
1000,0.000169,0.000302,0.000028,0.000132,0.000111
1000,0.000158,0.000292,0.000056,0.000143,0.000107
1000,0.000154,0.000285,0.000028,0.000128,0.000107
1000,0.000155,0.000285,0.000027,0.000129,0.000104
1000,0.000154,0.000284,0.000028,0.000128,0.000107
2500,0.000235,0.001175,0.000061,0.000366,0.000307
2500,0.000300,0.000870,0.000060,0.000372,0.000309
2500,0.000212,0.000365,0.000060,0.000365,0.000307
2500,0.000181,0.000365,0.000060,0.000387,0.000320
2500,0.000181,0.000366,0.000061,0.000366,0.000322
2500,0.000230,0.000365,0.000061,0.000365,0.000340
2500,0.000182,0.000367,0.000077,0.000387,0.000306
2500,0.000182,0.000365,0.000060,0.000365,0.000308
2500,0.000209,0.000366,0.000061,0.000365,0.000305
2500,0.000181,0.000366,0.000061,0.000365,0.000306
5000,0.000223,0.000521,0.000119,0.000827,0.000663
5000,0.000253,0.000502,0.000119,0.000796,0.000697
5000,0.000224,0.000541,0.000119,0.000795,0.000718
5000,0.000224,0.000529,0.000121,0.000794,0.000702
5000,0.000224,0.000501,0.000119,0.000793,0.000708
5000,0.000230,0.000508,0.000119,0.000834,0.000662
5000,0.000224,0.000518,0.000122,0.000817,0.000778
5000,0.000233,0.000524,0.000123,0.000817,0.000677
5000,0.000229,0.000514,0.000122,0.000814,0.000687
5000,0.000224,0.000500,0.000120,0.000797,0.000673
7500,0.000273,0.000686,0.000185,0.001279,0.001108
7500,0.000273,0.000659,0.000183,0.001284,0.001109
7500,0.000273,0.000658,0.000183,0.001283,0.001111
7500,0.000273,0.000660,0.000183,0.001281,0.001108
7500,0.000274,0.000660,0.000183,0.001281,0.001096
7500,0.000274,0.000662,0.000184,0.001294,0.001096
7500,0.000273,0.000658,0.000182,0.001279,0.001093
7500,0.000275,0.000661,0.000183,0.001280,0.001095
7500,0.000272,0.000662,0.000183,0.001278,0.001096
